Date,StockSymbol,TransactionType,Shares,PricePerShare,TransactionValue
1/1/2021,MSFT,Buy,128,94.33,12074.24
1/1/2021,PG,Buy,496,70.48,34958.08
1/1/2021,V,Buy,97,119.83,11623.51
1/1/2021,AMZN,Sell,360,271.48,97732.8
1/4/2021,PYPL,Sell,438,125.86,55126.68
1/5/2021,NVDA,Buy,207,617.39,127799.73
1/11/2021,DIS,Buy,84,947.76,79611.84
1/11/2021,NVDA,Buy,298,836.29,249214.42
1/12/2021,DIS,Sell,233,482.4,112399.2
1/13/2021,DIS,Buy,45,502.86,22628.7
1/13/2021,TSLA,Buy,414,625.77,259068.78
1/14/2021,JPM,Buy,411,406.13,166919.43
1/14/2021,V,Buy,5,643.71,3218.55
1/14/2021,DIS,Buy,330,610.07,201323.1
1/15/2021,WMT,Sell,254,426.46,108320.84
1/18/2021,PG,Buy,277,441.92,122411.84
1/19/2021,PYPL,Buy,315,642.81,202485.15
1/19/2021,MSFT,Sell,40,295.82,11832.8
1/19/2021,PYPL,Buy,19,630.83,11985.77
1/20/2021,TSLA,Buy,330,301,99330
1/21/2021,ADBE,Buy,112,292.31,32738.72
1/21/2021,NVDA,Buy,317,223.56,70868.52
1/21/2021,MSFT,Buy,37,259.77,9611.49
1/22/2021,TSLA,Buy,137,768.01,105217.37
1/22/2021,NFLX,Buy,192,830.37,159431.04
1/25/2021,WMT,Sell,380,508.91,193385.8
1/26/2021,FB,Buy,139,848.82,117985.98
1/26/2021,FB,Buy,373,311.02,116010.46
1/26/2021,ADBE,Sell,321,625.09,200653.89
1/29/2021,JPM,Buy,470,727.73,342033.1
1/29/2021,KO,Cash Out,473,563.37,242070.4017
1/29/2021,WMT,Buy,222,275.24,61103.28
1/29/2021,NKE,Buy,54,73.19,3952.26
2/1/2021,PEP,Buy,37,128.63,4759.31
2/1/2021,TSLA,Buy,212,378.77,80299.24
2/3/2021,FB,Buy,230,760.57,174931.1
2/3/2021,DIS,Buy,239,229.37,54819.43
2/3/2021,KO,Buy,335,457.88,153389.8
2/8/2021,GOOGL,Buy,207,733.65,151865.55
2/8/2021,AAPL,Buy,396,816.38,323286.48
2/10/2021,BA,Sell,469,872.41,409160.29
2/12/2021,NVDA,Sell,78,495.63,38659.14
2/16/2021,WMT,Sell,366,434,158844
2/16/2021,NFLX,Buy,59,602.07,35522.13
2/17/2021,GOOGL,Buy,117,383.32,44848.44
2/19/2021,KO,Buy,308,667.71,205654.68
2/19/2021,WMT,Buy,245,368.35,90245.75
2/19/2021,DIS,Buy,30,701.08,21032.4
2/19/2021,DIS,Sell,424,464.2,196820.8
2/23/2021,MSFT,Buy,219,569.1,124632.9
2/23/2021,V,Sell,103,132.45,13642.35
2/23/2021,BA,Sell,49,885.18,43373.82
2/25/2021,PG,Sell,166,372.38,61815.08
2/25/2021,JPM,Buy,45,547.8,24651
2/25/2021,TSLA,Sell,136,326.18,44360.48
2/26/2021,DIS,Buy,326,294.37,95964.62
3/2/2021,PYPL,Buy,205,481.3,98666.5
3/3/2021,PEP,Buy,455,999.29,454676.95
3/4/2021,GOOGL,Buy,269,673.45,181158.05
3/5/2021,PEP,Buy,494,734.7,362941.8
3/5/2021,V,Cash Out,292,212.43,56348.91187
3/5/2021,KO,Sell,310,291.34,90315.4
3/5/2021,TSLA,Buy,33,136.85,4516.05
3/8/2021,GOOGL,Sell,204,946.65,193116.6
3/8/2021,PG,Buy,9,418.29,3764.61
3/8/2021,WMT,Buy,445,829.63,369185.35
3/8/2021,WMT,Buy,271,877.54,237813.34
3/9/2021,BA,Buy,200,746.26,149252
3/11/2021,GOOGL,Sell,348,834.13,290277.24
3/15/2021,ADBE,Buy,365,945.3,345034.5
3/15/2021,BA,Sell,159,850.77,135272.43
3/17/2021,BA,Buy,232,544.67,126363.44
3/17/2021,V,Sell,39,268.45,10469.55
3/17/2021,GOOGL,Sell,233,845.1,196908.3
3/18/2021,NVDA,Sell,97,493.39,47858.83
3/22/2021,BA,Buy,211,564.25,119056.75
3/22/2021,PEP,Sell,159,92.82,14758.38
3/23/2021,PEP,Buy,156,835.83,130389.48
